Experiment,T,t (min),mu0,mu1,mu2,mu3,C
4,27.02,50.367,510597.36,5957630.38,168065544.24,8852754260.47,0.12869
4,26.71,51.633,556848.04,5620686.59,160463857.56,9091648919.90,0.12852
4,26.44,52.900,521940.01,5836206.25,186132574.70,9552455269.31,0.12648
4,26.07,54.167,539703.19,6362572.48,177367486.43,9771090035.09,0.12830
4,25.89,55.433,586145.08,6566665.91,189327775.59,9474829856.55,0.12699
4,25.74,56.683,602982.73,6745559.59,193590892.30,9896175120.84,0.12451
4,25.62,57.950,619052.36,6905289.71,182206125.04,10564098603.11,0.12462
4,25.52,59.233,666051.06,7047162.35,200751770.36,10183299201.78,0.12542
4,25.43,60.517,583822.90,7530643.51,211530503.03,10300727237.43,0.12501
4,25.36,61.783,628928.25,7645274.24,182456986.83,10402523374.45,0.12342
5,29.99,5.000,23013.90,193974.30,2879288.76,101115869.96,0.14226
5,30.15,6.250,22071.57,275441.86,4600358.70,128708190.13,0.14129
5,30.16,7.517,24538.09,329661.30,6230497.59,185012783.06,0.14198
5,29.85,8.767,20397.14,377366.91,7756876.88,235221375.47,0.14261
5,29.85,10.033,25532.27,467527.01,10202504.64,348985408.25,0.14230
5,30.01,11.283,22789.75,587337.31,13366869.13,442433382.03,0.14110
5,29.86,12.550,27581.05,629569.83,16975466.57,567937885.14,0.14026
5,30.01,13.800,29137.43,696593.58,20125351.22,707447145.37,0.14022
5,29.99,15.067,31110.78,761026.21,22336286.33,821517536.62,0.13889
5,30.16,16.317,31935.04,705048.06,25259232.13,1006718538.46,0.13839
5,30.01,17.583,34579.65,799146.91,26971269.23,1254932756.80,0.13871
5,30.00,18.833,35775.00,942773.06,30940906.25,1370338227.09,0.13819
5,30.15,20.100,40886.34,952510.37,36383045.75,1527466100.21,0.13810
5,29.85,21.350,42355.70,1006134.43,40623620.44,1551425261.19,0.13720
5,30.00,22.617,43769.26,1059770.05,40173747.63,1832245198.44,0.13589
5,29.86,23.883,49983.46,1111658.40,44274657.07,2052002037.74,0.13625
5,29.85,25.133,54016.86,1103809.44,46615776.33,1949742661.60,0.13582
5,29.99,26.400,58154.72,1330081.30,46872294.12,2237052258.08,0.13501
5,30.15,27.650,62170.64,1125490.95,48607334.20,2162910678.07,0.13427
5,29.84,28.917,59691.45,1227520.55,50294633.16,2352478807.89,0.13434
5,29.99,30.183,74034.91,1398765.70,51867649.46,2445260526.18,0.13524
5,29.99,31.433,70821.11,1368141.78,53238179.98,2324001779.84,0.13336
5,30.01,32.700,78573.76,1472396.12,56681725.75,2704572005.96,0.13432
5,30.01,33.967,82542.98,1578191.90,51217522.84,2669411689.38,0.13449
5,29.85,35.217,86531.24,1320832.92,59101767.03,2956468996.14,0.13346
5,29.86,36.483,81493.87,1424992.97,60261622.17,2915060818.37,0.13324
5,30.16,37.733,94232.50,1603352.05,63565552.63,2970770835.04,0.13266
5,29.99,39.000,92926.45,1706906.52,62060431.48,3136633904.17,0.13370
5,30.14,40.267,91142.95,1495699.21,57990763.83,2829238350.01,0.13276
5,30.00,41.533,104680.78,1676317.62,61107256.88,2987929683.28,0.13222
5,30.16,42.783,113305.97,1535586.68,61727850.52,3024023499.91,0.13290
5,29.86,44.050,105745.41,1556492.05,57409187.70,2940575884.31,0.13237
5,29.85,45.317,109088.24,1662078.31,63113405.70,3352650543.51,0.13223
5,29.86,46.583,124180.65,1600363.82,66332422.39,3142866177.86,0.13250
5,29.99,47.833,121444.92,1703909.52,59198122.69,3175396773.77,0.13160
5,30.16,49.100,130533.91,1633290.51,67379395.95,3072782336.37,0.13191
5,30.15,50.367,133318.71,1645555.13,70366811.81,2964100705.72,0.13184
5,30.00,51.633,129724.39,1746277.50,60305831.71,3374272612.65,0.13098
5,29.86,52.900,119401.61,1850798.28,71283094.40,3008754079.13,0.13208
5,29.85,54.167,135674.76,1690873.33,61154694.27,3165276906.52,0.13238
5,30.16,55.433,145208.17,1792782.45,69493687.11,3184304825.44,0.13192
5,30.15,56.683,133530.94,1802385.60,72443185.11,3331537892.49,0.13069
5,30.15,57.950,142800.42,1992866.12,67322009.07,3345428105.63,0.13143
5,29.86,59.233,159932.32,1641902.13,67651590.37,3364090645.44,0.13216
5,30.16,60.517,147828.22,1927269.20,67939813.59,3515599379.72,0.13092
5,30.15,61.783,149900.39,1751338.40,73596431.80,3120601000.38,0.13167
5,30.15,63.067,159559.09,1943945.81,68343671.21,3675416591.62,0.13085
5,29.84,64.367,154391.71,1676266.65,65878117.53,3692399682.69,0.13119
5,29.85,65.650,172720.38,1782044.00,66195718.75,3437473649.15,0.13152
5,30.00,66.933,159395.96,1698008.57,66451805.27,3590526713.74,0.13147
5,30.00,68.217,177727.63,1895679.29,69439916.40,3464700479.60,0.13182
6,29.99,5.000,22714.72,191656.82,2138712.16,194545517.45,0.14098
6,28.98,6.250,21967.02,242274.01,3411022.30,212947440.08,0.14160
6,28.26,7.517,20164.47,315553.65,5108332.29,258732814.86,0.14074
6,27.38,8.767,24155.37,399342.87,8248670.31,369148290.83,0.14046
6,26.75,10.033,22722.24,547036.24,12298304.91,483045993.59,0.14002
6,26.08,11.283,25320.35,598160.02,18094838.75,683177151.54,0.13935
6,25.78,12.550,27503.78,746256.59,23516206.73,987873259.85,0.13774
6,25.56,13.800,32173.60,777339.10,28882792.20,1290542023.64,0.13664
6,25.09,15.067,34994.82,986970.91,37131970.08,1728463563.44,0.13536
6,24.67,16.317,38535.52,1170619.40,42600286.81,2166776289.86,0.13530
6,24.44,17.583,47461.24,1309791.45,51648187.20,2551794720.20,0.13247
6,24.55,18.833,60775.45,1373663.27,62915705.18,2882977706.98,0.13239
6,24.38,20.100,70208.01,1494673.20,66811397.85,3360421449.33,0.13109
6,23.94,21.350,72903.98,1695246.17,67060233.61,3840216078.25,0.13051
6,23.98,22.617,78369.65,1732437.67,78113363.51,4319115208.84,0.12871
6,23.88,23.883,87528.43,1840441.60,76480952.38,4506761589.19,0.12770
6,23.94,25.133,111694.14,2131306.10,80249562.21,4634200145.33,0.12620
6,23.57,26.400,105491.85,2031700.43,80247531.00,4580352987.54,0.12604
6,23.66,27.650,108263.00,2225353.50,97729432.60,5238759360.49,0.12532
6,23.46,28.917,135903.09,2201681.85,100907354.52,5435899913.50,0.12468
6,23.57,30.183,124417.56,2162582.11,103717476.16,5772762804.59,0.12474
6,23.30,31.433,146753.16,2229210.28,94445703.26,5261049360.77,0.12300
6,22.39,32.700,163892.82,2433563.39,109322366.16,5605222120.75,0.12362
6,22.11,33.967,157699.27,2280299.93,104419718.53,5980921080.02,0.12172
6,21.75,35.217,175906.26,2635098.36,107591891.09,6365355105.96,0.12166
6,21.16,36.483,186270.54,2472298.92,106595624.37,6586413603.88,0.12033
6,20.93,37.733,196630.07,3003376.22,123634933.90,6408625041.30,0.11843
6,20.73,39.000,217321.58,2821717.76,122473212.04,6603318421.46,0.11955
6,20.57,40.267,217079.24,3074187.54,111163321.56,7203188244.73,0.11774
6,20.74,41.533,249215.27,3005517.67,113560499.91,6935707505.01,0.11781
6,20.63,42.783,247186.78,3079515.63,125669517.15,7283821046.10,0.11619
6,19.96,44.050,244895.55,3665993.93,128249586.25,6990888331.63,0.11568
6,19.27,45.317,267966.31,3445806.21,131421465.80,7624187660.03,0.11623
6,18.32,46.583,253138.80,3588213.33,140808694.63,7620634896.34,0.11661
6,17.66,47.833,278312.63,3378858.46,151223198.92,8367778859.72,0.11571
6,17.23,49.100,290505.31,3929307.63,144906628.52,8655700586.97,0.11307
6,17.17,50.367,272111.90,3886724.95,143456247.99,8400250795.44,0.11166
6,16.56,51.633,314079.98,4036374.87,153841305.11,8907150464.42,0.11196
6,16.44,52.900,325524.97,4617634.88,164321756.34,8864512164.79,0.11174
6,16.22,54.167,336575.74,4988768.96,168304266.87,9069858292.55,0.11103
6,16.04,55.433,382066.21,5131909.22,178676857.85,10121808716.33,0.10927
6,15.59,56.683,357868.93,5271576.33,162196379.33,9740721035.93,0.10972
6,15.77,57.950,367987.69,5151912.17,178986808.21,9317089835.17,0.10860
6,15.52,59.233,339968.87,5511072.17,181936213.87,9763175165.19,0.10701
6,15.28,60.517,387412.95,4857103.50,163518819.28,10522294898.13,0.10759
6,15.21,61.783,416457.56,4686433.95,173086397.66,10353148389.03,0.10659
