Experiment,T,t (min),mu0,mu1,mu2,mu3,C
2,36.79,17.58333,38434.870,794807.440,26755259.640,1929210411.010,0.152634
2,36,18.83333,46924.660,902547.990,34376405.070,2214011016.880,0.153628
2,35.04,20.1,66572.300,1242633.010,42378349.350,2810023276.710,0.150541
2,34.56,21.35,83319.610,1247848.100,53312595.440,3255886143.030,0.148830
2,34.21,22.61667,102104.010,1570246.030,60262411.880,3863627659.710,0.147856
2,33.96,23.88333,115800.020,2005484.880,68689878.660,4243430806.300,0.146999
2,33.78,25.13333,141658.400,2251614.230,79166116.470,4888627051.660,0.143449
2,33.65,26.4,169380.200,2474717.730,76014790.100,5012124054.030,0.143697
2,33.56,27.65,188946.720,2413916.330,95110261.930,5439243011.560,0.142710
2,33.5,28.91667,187931.970,2702848.770,92690912.360,5831905984.570,0.140469
2,33.45,30.18333,193218.250,2702384.760,92752123.000,5618173821.340,0.140484
2,32.39,31.43333,232235.000,3005811.260,104993543.140,6139506413.230,0.141124
2,31.71,32.7,252071.320,3378392.510,106552411.280,6279646025.170,0.140149
2,31.23,33.96667,245250.330,3443507.580,116954124.900,6910255068.340,0.137759
2,30.88,35.21667,307093.690,3840944.170,127444461.790,7032158962.590,0.137506
2,30.63,36.48333,343307.560,3667841.340,128118414.340,6762996016.140,0.135278
2,30.45,37.73333,314069.690,3839619.740,127759257.260,7344202383.420,0.135205
2,30.32,39,313554.000,3995573.210,131856088.650,7355901324.050,0.133193
2,30.23,40.26667,365133.200,4350385.680,135417860.210,7524442600.670,0.134633
2,30.17,41.53333,418823.930,4028027.320,149540239.970,8257428244.380,0.133476
2,30.12,42.78333,375342.970,4352588.450,141007475.870,7786509369.450,0.133070
2,29.2,44.05,370093.990,5192748.290,155842477.510,8346536022.950,0.132548
2,28.38,45.31667,430108.200,4677424.100,155038539.590,7950245918.630,0.130478
2,27.9,46.58333,472635.290,5157534.180,160759077.190,8626064201.480,0.132248
2,27.55,47.83333,469746.630,5655595.740,166353557.230,8653492651.410,0.130110
2,27.3,49.1,537864.810,5602308.430,165032748.440,9336395307.540,0.128688
2,27.12,50.36667,507238.570,6085891.090,183145322.260,9316002256.520,0.128645
2,26.99,51.63333,524420.720,5965814.460,173547729.790,9733221444.980,0.127407
2,26.9,52.9,567483.670,6418121.190,184038511.640,9408372597.650,0.127535
2,26.84,54.16667,583152.500,6550447.440,165484515.600,9535844944.190,0.127735
2,26.79,55.43333,569383.820,6349151.820,175117262.180,9893834796.560,0.126721
2,25.72,56.68333,585422.770,6831602.340,185997074.050,10053272619.710,0.126821
2,25.04,57.95,604403.030,6734802.660,183564592.670,9769746511.250,0.124793
2,24.56,59.23333,624160.410,6634706.470,196925340.800,10008029745.650,0.123958
2,24.21,60.51667,643559.460,7587298.150,210591933.230,10238749406.780,0.124388
2,23.96,61.78333,628913.130,7448769.120,199315866.950,11550098097.270,0.123029
2,23.78,63.06667,645755.260,7651267.030,203792952.730,10641312019.870,0.122971
2,23.65,64.36667,661709.100,7047803.090,216414046.530,11094395477.270,0.121771
2,23.56,65.65,711959.540,7584302.690,219915502.720,11528797896.200,0.120061
2,23.5,66.95,762775.740,8115530.280,214020400.170,11074922001.240,0.122054
2,23.45,68.23333,702776.600,7815828.140,243522378.600,11472034263.740,0.121088
2,22.39,69.53333,679955.040,8390953.310,247542400.320,12222290752.930,0.119959
2,21.71,70.83333,735199.560,7764316.110,253345167.660,12758892838.750,0.120395
2,21.23,72.13333,832609.650,9332741.690,240552266.600,12402650032.690,0.118367
2,20.88,73.43333,811641.100,10055846.000,246371389.750,12014048211.760,0.116968
2,20.63,74.73333,829553.000,8437833.590,251759244.590,12871107866.090,0.116225
2,20.45,76.03333,761776.280,9103281.960,256540889.150,12743124608.900,0.116730
2,20.32,77.33333,948408.360,10251580.630,281581587.270,13243232225.240,0.115574
2,20.23,78.63333,876846.470,9919097.760,253746820.280,13391903148.940,0.115081
2,20.17,79.93333,979472.620,9549039.670,256682798.610,14193995273.520,0.115809
2,20.12,81.23333,993279.210,11180073.600,291557293.990,13965080126.380,0.113737
3,40,5,1468.510,22775.440,1621714.420,239513860.620,0.157827
3,39.05,6.25,2240.610,30298.050,1898332.280,269268441.720,0.156936
3,38.38,7.516667,3823.410,53029.560,2604281.870,320493508.360,0.158382
3,37.9,8.766667,4373.010,76979.860,3125551.600,379241975.900,0.159774
3,37.56,10.03333,6989.570,115546.550,4545638.450,475437301.920,0.157135
3,37.32,11.28333,9434.990,143808.730,6092760.020,575463002.660,0.157558
3,37.12,12.55,12147.040,226736.050,8178306.950,690263556.830,0.157049
3,36.98,13.8,16355.520,327565.250,13111953.430,938760567.560,0.154821
3,36.91,15.06667,20939.720,377459.390,15325649.950,1130675149.270,0.156318
3,36.85,16.31667,27837.030,600422.170,22082639.100,1461189232.960,0.153784
3,36.79,17.58333,38443.830,658216.800,23916264.850,1740172300.770,0.153449
3,36.01,18.83333,49448.040,907885.930,36129143.790,2167176892.780,0.152968
3,35.05,20.1,60001.470,1029962.460,42693559.580,2468642291.200,0.151434
3,34.55,21.35,79225.910,1468194.800,49430375.490,3134301071.700,0.148246
3,34.19,22.61667,92548.410,1677122.790,58411047.010,3757211813.580,0.147283
3,33.96,23.88333,128403.460,1944250.330,73541278.280,4124315515.580,0.147154
3,33.78,25.13333,122491.150,2292328.690,74304622.610,4266902572.260,0.144316
3,33.64,26.4,155469.450,2411029.960,80875111.520,5194747681.960,0.143114
3,33.57,27.65,191279.610,2480450.700,90698017.360,5043926883.630,0.141406
3,33.52,28.91667,210726.560,2377630.760,86485184.920,5450400418.270,0.141282
3,33.47,30.18333,208196.000,2781422.050,94936898.270,5488280272.340,0.140590
3,32.39,31.43333,225683.440,2649858.680,109291155.010,5537372583.850,0.138417
3,31.72,32.7,245340.610,3155350.090,94481817.700,5997896294.070,0.139536
3,31.24,33.96667,292158.930,3209126.320,116382685.070,6483747876.500,0.138524
3,30.89,35.21667,271139.420,3592606.670,110604202.740,7172318657.760,0.136889
3,30.64,36.48333,289674.270,3417295.970,127770253.320,6818717203.840,0.136012
3,30.46,37.73333,307187.490,3780836.870,132655208.570,7477900510.080,0.134570
