Experiment,T,t (min),mu0,mu1,mu2,mu3,C
2,34.99,41.53333,908.26,257733.15,73802568.97,19713104603.20,0.137518
2,35.01,42.78333,908.26,257196.36,73789859.09,19242068382.70,0.138918
2,34.98,44.05,908.26,257689.86,73043888.41,19081917632.03,0.138244
2,35.01,45.31667,908.26,256641.95,73400055.02,19542631108.06,0.13895
2,35.02,46.58333,908.26,257138.47,73756938.05,19693352448.05,0.138273
2,34.99,47.83333,908.26,256607.95,73380779.45,19069210205.16,0.139669
2,35.02,49.1,908.26,256592.66,73372112.84,19685577793.03,0.139682
2,34.99,50.36667,908.26,257092.63,73730873.08,19062164686.90,0.13831
2,35,51.63333,908.26,257079.35,73723326.42,19678806927.32,0.137629
2,35.02,52.9,908.26,256552.83,73349536.04,19210977875.14,0.136948
2,35.01,54.16667,908.26,256541.27,72976270.90,19363101699.01,0.13834
2,34.98,55.43333,908.26,256016.36,72970169.55,19515361194.58,0.139041
2,34.98,56.68333,908.26,256520.43,72597866.40,19512912853.13,0.138357
2,35,57.95,908.26,258053.05,73325776.41,19510582739.94,0.139057
2,35,59.23333,908.26,255987.79,73320633.53,19198707802.15,0.139064
2,35.01,60.51667,908.26,256493.29,74048954.32,19506277955.81,0.137687
2,35,61.78333,908.26,255971.35,73311298.41,19039948914.54,0.138385
2,35.01,63.06667,908.26,258019.71,72940464.92,19502483953.31,0.1377
2,35.02,64.36667,908.26,257498.45,73302891.06,19191176723.37,0.137705
2,34.98,65.65,908.26,257491.66,73665554.52,19189550353.39,0.139095
3,24.99,5,929.66,272858.19,83135550.00,22919000000.00,0.114202
3,24.99,6.25,929.66,271489.21,82072669.51,22590756638.55,0.115328
3,25,7.516667,929.66,270251.50,81446587.33,22145194208.38,0.11703
3,25,8.766667,929.66,269322.72,81325987.60,22102787699.16,0.117703
3,24.98,10.03333,929.66,268902.85,80664511.80,21871275971.56,0.117738
3,25.01,11.28333,929.66,268461.47,80731685.50,21756182519.45,0.118061
3,25.02,12.55,929.66,268270.61,80367097.34,21508719562.25,0.118661
3,25,13.8,929.66,267670.61,80206386.63,21592522904.54,0.118604
